Comment,Designator,Footprint,LCSC
NAV_SWITCH-_K1-1508SA-03,"S1,S2",SW-SMD_K1-1508SA-03, C502286
22r,"R12,R13,R18,R19,R6,R7",R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,C140034
100n,"C1,C10,C100,C101,C102,C103,C104,C11,C2,C23,C24,C29,C30,C31,C32,C33,C34,C35,C36,C37,C38,C39,C4,C40,C41,C42,C43,C44,C45,C46,C47,C48,C49,C5,C50,C51,C52,C53,C54,C55,C56,C57,C58,C59,C6,C60,C61,C62,C63,C64,C67,C68,C69,C7,C70,C71,C72,C73,C74,C75,C76,C77,C78,C79,C8,C80,C81,C82,C83,C84,C85,C86,C87,C88,C89,C9,C90,C91,C92,C93,C94,C95,C96,C97,C98,C99",C_0402_1005Metric-no silk,C1525
1uf,"C19,C20,C21,C22,C25,C26,C27,C28,C65,C66",C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,C15849
HRO-TYPE-C-31-M-12-HandSoldering-NoSBU,"J1,J2",HRO-TYPE-C-31-M-12-mod,C165948
100n,"C12,C3",C_0805_2012Metric,C1760
TSSOP-16_4.4x5mm_P0.65mm-no ref,"U11,U12,U13,U15,U17,U18,U5,U6,U8,U9",TSSOP-16_4.4x5mm_P0.65mm-no ref,C233472
10k,"R10,R11,R16,R17,R4,R5",R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,C25744
5.1k,"R1,R3",R_0402_1005Metric,C25905
4.7k,"R14,R15,R8,R9",R_0402_1005Metric,C269746
4A/0805,"FB1,FB2",L_0805_2012Metric_Pad1.15x1.40mm_HandSolder,C2847222
LM66100DCKR,"D1,D2",SOP65P210X110-6N,C2869734
R_Pack04,"RN1,RN10,RN11,RN12,RN13,RN14,RN15,RN16,RN17,RN18,RN19,RN2,RN20,RN3,RN4,RN5,RN6,RN7,RN8,RN9",R_Array_Concave_4x0603-no silk,C3033965
Conn_01x12_Female,"J4,J6",FPC-SMD_FPC05012-09200-.5mm,C479750
1u,"C15,C16,C17,C18",C_0402_1005Metric,C52923
SN74AHCT1G125DBVR,"U1,U14",SOT-23-5,C7484
USBLC6-2SC6,"U3,U4",SOT-23-6,C7519
24LC64,"U10,U20",CAT24C512 SOIC-8,C79986
Texas_DSBGA-9_1.4715x1.4715mm_Layout3x3_P0.5mm,"IC1,IC2",Texas_DSBGA-9_1.4715x1.4715mm_Layout3x3_P0.5mm,C81079
2N7002,"Q1,Q2",SOT-23,C8545
GC9A01,"J15,J16",GC9A01Round1.28-bare screen,N/A
SW_PUSH_LED-SK,SW18,MX_ChocV1V2_HS,
SW_PUSH_LED-SK,SW62,MX_ChocV1V2_HS-rot,
SW_PUSH_LED-SK,SW19,MX_ChocV1V2_HS-rot,
SW_PUSH_LED-SK,SW21,MX_ChocV1V2_HS,
SW_PUSH_LED-SK,SW50,MX_ChocV1V2_HS-rot,
SW_PUSH_LED-SK,SW15,MX_ChocV1V2_HS,
NetTie_2,NT3,NetTie-2_SMD_Pad3.0mm,
SW_PUSH_LED-SK,SW12,MX_ChocV1V2_HS-rot,
SW_PUSH_LED-SK,SW66,MX_ChocV1V2_HS,
SW_PUSH_LED-SK,SW43,MX_ChocV1V2_HS,
SW_PUSH_LED-SK,SW20,MX_ChocV1V2_HS,
SW_PUSH_LED-SK,SW38,MX_ChocV1V2_HS,
Conn_01x01_Female,J9,1X01_OVAL,
SW_PUSH_LED-SK,SW13,MX_ChocV1V2_HS,
TestPoint,TP2,TESTPOINT_PAD_2MM,
SW_PUSH_LED-SK,SW10,MX_ChocV1V2_HS,
SW_PUSH_LED-SK,SW31,MX_ChocV1V2_HS,
SW_PUSH_LED-SK,SW34,MX_ChocV1V2_HS-rot,
Conn_01x01_Female,J11,1X01_OVAL,
Symbol_minus,SYM4,SYMBOL_MINUS,
SW_PUSH_LED-SK,SW7,MX_ChocV1V2_HS-rot,
SW_PUSH_LED-SK,SW45,MX_ChocV1V2_HS-rot,
TestPoint,TP11,TestPoint_THTPad_1.0x1.0mm_Drill0.5mm,
Symbol_plus,SYM2,SYMBOL_PLUS,
TestPoint,TP9,TestPoint_THTPad_1.0x1.0mm_Drill0.5mm,
SW_PUSH_LED-SK,SW27,MX_ChocV1V2_HS-rot,
SW_PUSH_LED-SK,SW48,MX_ChocV1V2_HS,
Symbol_plus,SYM1,SYMBOL_PLUS,
SW_PUSH_LED-SK,SW6,MX_ChocV1V2_HS,
TestPoint,TP8,TestPoint_THTPad_1.0x1.0mm_Drill0.5mm,
SW_PUSH_LED-SK,SW54,MX_ChocV1V2_HS-rot,
SW_PUSH_LED-SK,SW53,MX_ChocV1V2_HS,
SW_PUSH_LED-SK,SW57,MX_ChocV1V2_HS-rot,
SW_PUSH_LED-SK,SW24,MX_ChocV1V2_HS-rot,
SW_PUSH_LED-SK,SW69,MX_ChocV1V2_HS-rot,
TestPoint,TP3,TESTPOINT_PAD_2MM,
SW_PUSH_LED-SK,SW32,MX_ChocV1V2_HS-rot,
SW_PUSH_LED-SK,SW56,MX_ChocV1V2_HS,
SW_PUSH_LED-SK,SW59,MX_ChocV1V2_HS-rot,
SW_PUSH_LED-SK,SW58,MX_ChocV1V2_HS,
SW_PUSH_LED-SK,SW46,MX_ChocV1V2_HS,
SW_PUSH_LED-SK,SW33,MX_ChocV1V2_HS-rot,
xiao,U2,xiao,
SW_PUSH_LED-SK,SW68,MX_ChocV1V2_HS,
SW_PUSH_LED-SK,SW71,MX_ChocV1V2_HS,
