Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,100n,C_0402_1005Metric-no silk,47.1,-89.38,-90.0,top
C2,100n,C_0402_1005Metric-no silk,374.675,-88.525,-90.0,top
C3,100n,C_0805_2012Metric,165.83,-77.28,0.0,top
C4,100n,C_0402_1005Metric-no silk,88.34,-73.72,-90.0,top
C5,100n,C_0402_1005Metric-no silk,336.65,-74.25,-90.0,top
C6,100n,C_0402_1005Metric-no silk,120.28,-79.53,-90.0,top
C7,100n,C_0402_1005Metric-no silk,314.2,-78.4,-90.0,top
C8,100n,C_0402_1005Metric-no silk,168.37,-153.15,-90.0,top
C9,100n,C_0402_1005Metric-no silk,256.35,-152.475,-90.0,top
C10,100n,C_0402_1005Metric-no silk,72.81,-162.71,-90.0,top
C11,100n,C_0402_1005Metric-no silk,351.4,-163.295,-90.0,top
C12,100n,C_0805_2012Metric,310.4,-69.4,90.0,top
C15,1u,C_0402_1005Metric,161.4,-92.3,90.0,top
C16,1u,C_0402_1005Metric,276.291889,-83.361492,0.0,top
C17,1u,C_0402_1005Metric,156.8,-93.35,-90.0,top
C18,1u,C_0402_1005Metric,276.261889,-87.936492,0.0,top
C19,1uf,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,157.261322,-72.710554,180.0,top
C20,1uf,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,160.723824,-72.310553,180.0,top
C21,1uf,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,306.787501,-78.2,180.0,top
C22,1uf,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,310.249999,-77.700001,180.0,top
C23,100n,C_0402_1005Metric-no silk,260.491891,-79.916494,-90.0,top
C24,100n,C_0402_1005Metric-no silk,170.111892,-79.936493,-90.0,top
C25,1uf,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,241.686889,-105.536492,90.0,top
C26,1uf,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,186.3,-105.6375,90.0,top
C27,1uf,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,251.286889,-70.936492,0.0,top
C28,1uf,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,246.55,-158.1,0.0,top
C29,cap_100nF_16v_0402,C_0402_1005Metric-no silk,384.724888,-97.856491,0.0,top
C30,cap_100nF_16v_0402,C_0402_1005Metric-no silk,365.674889,-97.856493,0.0,top
C31,cap_100nF_16v_0402,C_0402_1005Metric-no silk,346.624891,-88.331494,0.0,top
C32,cap_100nF_16v_0402,C_0402_1005Metric-no silk,327.67489,-83.563493,0.0,top
C33,cap_100nF_16v_0402,C_0402_1005Metric-no silk,308.52489,-88.331495,0.0,top
C34,cap_100nF_16v_0402,C_0402_1005Metric-no silk,289.474889,-90.717496,0.0,top
C35,cap_100nF_16v_0402,C_0402_1005Metric-no silk,270.424889,-98.511494,0.0,top
C36,cap_100nF_16v_0402,C_0402_1005Metric-no silk,276.924891,-122.961492,0.0,top
C37,cap_100nF_16v_0402,C_0402_1005Metric-no silk,295.97489,-115.167495,0.0,top
C38,cap_100nF_16v_0402,C_0402_1005Metric-no silk,315.024891,-112.781495,0.0,top
C39,cap_100nF_16v_0402,C_0402_1005Metric-no silk,334.174889,-108.013494,0.0,top
C40,cap_100nF_16v_0402,C_0402_1005Metric-no silk,353.12489,-112.781495,0.0,top
C41,cap_100nF_16v_0402,C_0402_1005Metric-no silk,372.174889,-122.306492,0.0,top
C42,cap_100nF_16v_0402,C_0402_1005Metric-no silk,391.224887,-122.306492,0.0,top
C43,cap_100nF_16v_0402,C_0402_1005Metric-no silk,384.724888,-135.956493,0.0,top
C44,cap_100nF_16v_0402,C_0402_1005Metric-no silk,365.674889,-135.956493,0.0,top
C45,cap_100nF_16v_0402,C_0402_1005Metric-no silk,346.624888,-126.431497,0.0,top
C46,cap_100nF_16v_0402,C_0402_1005Metric-no silk,327.674887,-121.663491,0.0,top
C47,cap_100nF_16v_0402,C_0402_1005Metric-no silk,308.524892,-126.431493,0.0,top
C48,cap_100nF_16v_0402,C_0402_1005Metric-no silk,289.474891,-128.817495,0.0,top
C49,cap_100nF_16v_0402,C_0402_1005Metric-no silk,273.01,-162.66,30.0,top
C50,cap_100nF_16v_0402,C_0402_1005Metric-no silk,270.424889,-136.611493,0.0,top
C51,cap_100nF_16v_0402,C_0402_1005Metric-no silk,295.974889,-153.267496,0.0,top
C52,cap_100nF_16v_0402,C_0402_1005Metric-no silk,315.024894,-150.881493,0.0,top
C53,cap_100nF_16v_0402,C_0402_1005Metric-no silk,334.174891,-146.113494,0.0,top
C54,cap_100nF_16v_0402,C_0402_1005Metric-no silk,353.124887,-150.881497,0.0,top
C55,cap_100nF_16v_0402,C_0402_1005Metric-no silk,372.174887,-160.406493,0.0,top
C56,cap_100nF_16v_0402,C_0402_1005Metric-no silk,391.224889,-160.40649,0.0,top
C57,cap_100nF_16v_0402,C_0402_1005Metric-no silk,375.724888,-174.056494,0.0,top
C58,cap_100nF_16v_0402,C_0402_1005Metric-no silk,360.01,-173.63,0.0,top
C59,cap_100nF_16v_0402,C_0402_1005Metric-no silk,333.25,-167.16,-90.0,top
C60,cap_100nF_16v_0402,C_0402_1005Metric-no silk,314.2,-167.19,-90.0,top
C61,cap_100nF_16v_0402,C_0402_1005Metric-no silk,295.4,-167.78,15.0,top
C62,cap_100nF_16v_0402,C_0402_1005Metric-no silk,274.65,-177.0,30.0,top
C63,cap_100nF_16v_0402,C_0402_1005Metric-no silk,256.81,-191.53,45.0,top
C64,cap_100nF_16v_0402,C_0402_1005Metric-no silk,251.64,-178.14,45.0,top
C65,1uf,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,196.05,-71.5,0.0,top
C66,1uf,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,191.7,-157.6,0.0,top
C67,cap_100nF_16v_0402,C_0402_1005Metric-no silk,154.54,-88.32,0.0,top
C68,cap_100nF_16v_0402,C_0402_1005Metric-no silk,278.56,-76.29,0.0,top
C69,cap_100nF_16v_0402,C_0402_1005Metric-no silk,46.641888,-103.256493,0.0,top
C70,cap_100nF_16v_0402,C_0402_1005Metric-no silk,65.691889,-103.256494,0.0,top
C71,cap_100nF_16v_0402,C_0402_1005Metric-no silk,84.741889,-93.731494,0.0,top
C72,cap_100nF_16v_0402,C_0402_1005Metric-no silk,103.791891,-88.96349,0.0,top
C73,cap_100nF_16v_0402,C_0402_1005Metric-no silk,122.841892,-93.731493,0.0,top
C74,cap_100nF_16v_0402,C_0402_1005Metric-no silk,141.891888,-96.117495,0.0,top
C75,cap_100nF_16v_0402,C_0402_1005Metric-no silk,160.941888,-103.911491,0.0,top
C76,cap_100nF_16v_0402,C_0402_1005Metric-no silk,154.441888,-117.561495,0.0,top
C77,cap_100nF_16v_0402,C_0402_1005Metric-no silk,135.391888,-109.767495,0.0,top
C78,cap_100nF_16v_0402,C_0402_1005Metric-no silk,116.34189,-107.381492,0.0,top
C79,cap_100nF_16v_0402,C_0402_1005Metric-no silk,97.291888,-102.613494,0.0,top
C80,cap_100nF_16v_0402,C_0402_1005Metric-no silk,78.241888,-107.381493,0.0,top
C81,cap_100nF_16v_0402,C_0402_1005Metric-no silk,59.191889,-116.906493,0.0,top
C82,cap_100nF_16v_0402,C_0402_1005Metric-no silk,40.141889,-116.90649,0.0,top
C83,cap_100nF_16v_0402,C_0402_1005Metric-no silk,46.641892,-141.356491,0.0,top
C84,cap_100nF_16v_0402,C_0402_1005Metric-no silk,65.691889,-141.356495,0.0,top
C85,cap_100nF_16v_0402,C_0402_1005Metric-no silk,84.741888,-131.831495,0.0,top
C86,cap_100nF_16v_0402,C_0402_1005Metric-no silk,103.791889,-127.063492,0.0,top
C87,cap_100nF_16v_0402,C_0402_1005Metric-no silk,122.841889,-131.83149,0.0,top
C88,cap_100nF_16v_0402,C_0402_1005Metric-no silk,141.891888,-134.217496,0.0,top
C89,cap_100nF_16v_0402,C_0402_1005Metric-no silk,154.441889,-136.611493,0.0,top
C90,cap_100nF_16v_0402,C_0402_1005Metric-no silk,135.391886,-147.867497,0.0,top
C91,cap_100nF_16v_0402,C_0402_1005Metric-no silk,116.341889,-145.481493,0.0,top
C92,cap_100nF_16v_0402,C_0402_1005Metric-no silk,97.291888,-140.713491,0.0,top
C93,cap_100nF_16v_0402,C_0402_1005Metric-no silk,78.241886,-145.481495,0.0,top
C94,cap_100nF_16v_0402,C_0402_1005Metric-no silk,59.191887,-155.006494,0.0,top
C95,cap_100nF_16v_0402,C_0402_1005Metric-no silk,40.141888,-155.00649,0.0,top
C96,cap_100nF_16v_0402,C_0402_1005Metric-no silk,55.641889,-179.456494,0.0,top
C97,cap_100nF_16v_0402,C_0402_1005Metric-no silk,74.69189,-179.456494,0.0,top
C98,cap_100nF_16v_0402,C_0402_1005Metric-no silk,93.74189,-170.456494,0.0,top
C99,cap_100nF_16v_0402,C_0402_1005Metric-no silk,112.79189,-170.456493,0.0,top
C100,cap_100nF_16v_0402,C_0402_1005Metric-no silk,134.941814,-173.501492,0.0,top
C101,cap_100nF_16v_0402,C_0402_1005Metric-no silk,154.936458,-182.541086,0.0,top
C102,cap_100nF_16v_0402,C_0402_1005Metric-no silk,171.849176,-196.494293,0.0,top
C103,cap_100nF_16v_0402,C_0402_1005Metric-no silk,179.160589,-172.860589,135.0,top
C104,cap_100nF_16v_0402,C_0402_1005Metric-no silk,156.484308,-157.56,150.0,top
D1,LM66100DCKR,SOP65P210X110-6N,159.323821,-74.910556,0.0,top
D2,LM66100DCKR,SOP65P210X110-6N,308.75,-80.3,0.0,top
F1,SMD-PPTC-1000MA-8V_1206_,Fuse_1206_3216Metric,156.65,-70.8,0.0,top
F2,SMD-PPTC-1000MA-8V_1206_,Fuse_1206_3216Metric,306.15958,-76.239446,0.0,top
FB1,4A/0805,L_0805_2012Metric_Pad1.15x1.40mm_HandSolder,251.5,-69.0,180.0,top
FB2,4A/0805,L_0805_2012Metric_Pad1.15x1.40mm_HandSolder,177.35,-70.05,90.0,top
IC1,Texas_DSBGA-9_1.4715x1.4715mm_Layout3x3_P0.5mm,Texas_DSBGA-9_1.4715x1.4715mm_Layout3x3_P0.5mm,159.1,-92.75,-90.0,top
